Tm,Games,Wins,Win_Pct,X_Bat,BatAge,R_G,PA,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Adj,TB,GDP,HBP,SH,SF,IBB
ARI,162,70,0.432,45,26.5,4.44,6268,5565,720,1408,307,45,173,686,102,40,571,1298,0.253,0.324,0.418,0.742,88,2324,93,37,54,41,47
ATL,162,86,0.531,45,28.8,4.54,6335,5539,735,1459,300,20,149,700,58,26,602,1064,0.263,0.339,0.405,0.744,98,2246,142,52,95,47,54
BAL,162,64,0.395,35,28.7,4.57,6233,5618,741,1508,307,19,160,708,76,37,517,1013,0.268,0.332,0.415,0.747,95,2333,131,39,13,46,25
BOS,162,95,0.586,43,30,5.38,6342,5543,872,1495,335,25,212,822,126,39,659,1120,0.27,0.352,0.454,0.806,105,2516,137,70,19,51,39
CHC,161,83,0.516,45,29.9,4.39,6244,5486,707,1398,293,29,161,678,56,34,592,1185,0.255,0.332,0.407,0.738,88,2232,134,59,65,42,44
CHW,162,79,0.488,34,29.8,4.47,6132,5463,724,1410,246,20,184,695,113,49,534,1022,0.258,0.329,0.411,0.74,91,2248,139,62,34,39,25
CIN,162,78,0.481,46,27.9,4.15,6187,5462,673,1349,280,25,158,637,96,40,531,1129,0.247,0.318,0.394,0.712,86,2153,103,53,100,41,37
CLE,162,65,0.401,40,27.4,4.77,6320,5568,773,1468,314,28,161,730,84,31,582,1211,0.264,0.339,0.417,0.756,103,2321,140,81,39,50,20
COL,162,92,0.568,45,27.8,4.96,6241,5398,804,1408,300,50,190,760,106,55,660,1277,0.261,0.343,0.441,0.784,98,2378,111,47,76,60,40
DET,163,86,0.528,36,29.8,4.56,6233,5540,743,1443,245,35,183,718,72,33,540,1114,0.26,0.331,0.416,0.747,93,2307,131,61,53,39,30
FLA,162,87,0.537,44,26.9,4.77,6312,5572,772,1493,296,25,159,727,75,35,568,1226,0.268,0.34,0.416,0.756,97,2316,110,63,70,39,46
HOU,162,74,0.457,42,31.6,3.97,6038,5436,643,1415,270,32,142,616,113,44,448,990,0.26,0.319,0.4,0.719,90,2175,153,43,66,45,37
KCR,162,65,0.401,34,27.6,4.23,6101,5532,686,1432,276,51,144,657,88,29,457,1091,0.259,0.318,0.405,0.724,91,2242,135,42,38,32,20
LAA,162,97,0.599,32,29.5,5.45,6305,5622,883,1604,293,33,173,841,148,63,547,1054,0.285,0.35,0.441,0.792,106,2482,128,41,43,52,32
LAD,162,95,0.586,47,29.7,4.81,6384,5592,780,1511,278,39,145,739,116,48,607,1068,0.27,0.346,0.412,0.758,104,2302,141,63,78,44,76
MIL,162,80,0.494,45,29.3,4.85,6296,5510,785,1447,281,37,182,757,68,37,610,1231,0.263,0.341,0.426,0.767,104,2348,128,71,58,47,44
MIN,163,87,0.534,32,27.6,5.01,6346,5608,817,1539,271,40,172,770,85,32,585,1021,0.274,0.345,0.429,0.774,103,2406,147,45,51,57,46
NYM,162,70,0.432,53,29.5,4.14,6158,5453,671,1472,295,49,95,631,122,44,526,928,0.27,0.335,0.394,0.729,94,2150,144,36,88,55,49
NYY,162,103,0.636,37,30.5,5.65,6447,5660,915,1604,325,21,244,881,111,28,663,1014,0.283,0.362,0.478,0.839,122,2703,144,54,31,39,35
OAK,162,75,0.463,37,29.1,4.69,6246,5584,759,1464,307,21,135,723,133,48,527,1046,0.262,0.328,0.397,0.726,92,2218,130,50,31,54,16
PHI,162,93,0.574,41,31.3,5.06,6338,5578,820,1439,312,35,224,788,119,28,589,1155,0.258,0.334,0.447,0.781,103,2493,90,71,55,45,47
PIT,161,62,0.385,49,27,3.95,6058,5417,636,1364,289,34,125,612,90,32,499,1142,0.252,0.318,0.387,0.705,88,2096,124,46,60,36,44
SDP,162,75,0.463,56,28,3.94,6178,5425,638,1315,265,31,141,605,82,29,586,1182,0.242,0.321,0.381,0.701,96,2065,131,57,74,36,52
SEA,162,85,0.525,37,29.8,3.95,6113,5543,640,1430,280,19,160,613,89,33,421,1093,0.258,0.314,0.402,0.716,90,2228,124,49,56,44,39
SFG,162,88,0.543,44,29.1,4.06,6057,5493,657,1411,275,43,122,612,78,28,392,1158,0.257,0.309,0.389,0.699,81,2138,115,50,67,55,41
STL,162,91,0.562,42,28.5,4.51,6165,5465,730,1436,294,29,160,694,75,31,528,1041,0.263,0.332,0.415,0.747,97,2268,127,61,68,43,73
TBR,162,84,0.519,38,27.8,4.96,6223,5462,803,1434,297,36,199,765,194,61,642,1229,0.263,0.343,0.439,0.782,104,2400,104,49,25,45,36
TEX,162,87,0.537,34,27.8,4.84,6126,5526,784,1436,296,27,224,748,149,36,472,1253,0.26,0.32,0.445,0.764,95,2458,97,37,40,51,23
TOR,162,75,0.463,36,29.9,4.93,6362,5696,798,1516,339,13,209,766,73,23,548,1028,0.266,0.333,0.44,0.773,104,2508,130,45,24,49,23
WSN,162,59,0.364,55,28.4,4.38,6272,5493,710,1416,271,38,156,685,73,40,617,1208,0.258,0.337,0.406,0.743,96,2231,133,56,64,42,39
