TicketID,Date,MemberID,Desc,Price
100004,2013-01-07,,Mozzarella Sticks,7
100004,2013-01-07,,Jalapeno Poppers,7
100004,2013-01-07,,Onion Rings,7
100004,2013-01-07,,Onion Rings,7
100004,2013-01-07,,Supreme - Small,9
100004,2013-01-07,,Supreme - Large,16
100004,2013-01-07,,Mt. Hawaiian - Medium,14
100004,2013-01-07,,Barbecue Chicken - Medium,14
100004,2013-01-07,,Barbecue Chicken - Medium,14
100004,2013-01-07,,Barbecue Chicken - Medium,14
100004,2013-01-07,,Soda - Small,2
100004,2013-01-07,,Soda - Large,3
100004,2013-01-07,,Soda - Large,3
100006,2013-01-07,996536,Stromboli,7.5
100006,2013-01-07,996536,House Salad - Half,3
100006,2013-01-07,996536,House Salad - Whole,6
100006,2013-01-07,996536,House Salad - Whole,6
100006,2013-01-07,996536,House Salad - Whole,6
100006,2013-01-07,996536,Meat Grinder - Small,9
100006,2013-01-07,996536,Supreme - Medium,14
100006,2013-01-07,996536,Barbecue Chicken - Medium,14
100006,2013-01-07,996536,Barbecue Chicken - Medium,14
100006,2013-01-07,996536,Buffalo Chicken - Large,16
100006,2013-01-07,996536,Soda - Small,2
100006,2013-01-07,996536,Soda - Small,2
100006,2013-01-07,996536,Soda - Large,3
100008,2013-01-07,,Mozzarella Sticks,7
100008,2013-01-07,,Soup of the Day - Bowl,5
100008,2013-01-07,,Caprese Salad,7
100008,2013-01-07,,Classic Quarter Pounder,8
100008,2013-01-07,,Bacon Burger,9
100008,2013-01-07,,Garden Fresh - Small,9
100008,2013-01-07,,Barbecue Chicken - Large,16
100008,2013-01-07,,Soda - Small,2
100008,2013-01-07,,Soda - Small,2
100008,2013-01-07,,Soda - Large,3
100008,2013-01-07,,Soda - Large,3
100010,2013-01-07,990952,Mozzarella Sticks,7
100010,2013-01-07,990952,Mozzarella Sticks,7
100010,2013-01-07,990952,Waffle Fries,5
100010,2013-01-07,990952,Meat Grinder - Large,16
100010,2013-01-07,990952,Garden Fresh - Large,16
100010,2013-01-07,990952,Barbecue Chicken - Medium,14
100010,2013-01-07,990952,Barbecue Chicken - Large,16
100010,2013-01-07,990952,Soda - Small,2
100010,2013-01-07,990952,Soda - Small,2
100011,2013-01-07,,Cheese Bread,8
100011,2013-01-07,,Soup of the Day - Cup,3
100011,2013-01-07,,Soup of the Day - Bowl,5
100011,2013-01-07,,House Salad - Whole,6
100011,2013-01-07,,The Works  - Large,16
100011,2013-01-07,,Barbecue Chicken - Small,9
100011,2013-01-07,,Barbecue Chicken - Large,16
100011,2013-01-07,,Buffalo Chicken - Small,9
100011,2013-01-07,,Soda - Large,3
100011,2013-01-07,,Soda - Large,3
100012,2013-01-07,,Mozzarella Sticks,7
100012,2013-01-07,,Stromboli,7.5
100012,2013-01-07,,House Salad - Half,3
100012,2013-01-07,,Cheese Burger,9
100012,2013-01-07,,Bacon Burger,9
100012,2013-01-07,,Mt. Hawaiian - Medium,14
100012,2013-01-07,,Barbecue Chicken - Large,16
100012,2013-01-07,,Soda - Large,3
100012,2013-01-07,,Soda - Large,3
100013,2013-01-07,,Cheese Bread,8
100013,2013-01-07,,Meat Grinder - Small,9
100013,2013-01-07,,Mt. Hawaiian - Large,16
100013,2013-01-07,,Soda - Small,2
100020,2013-01-07,995020,Onion Rings,7
100020,2013-01-07,995020,Onion Rings,7
100020,2013-01-07,995020,House Salad - Half,3
100020,2013-01-07,995020,House Salad - Whole,6
100020,2013-01-07,995020,Meat Grinder - Small,9
100020,2013-01-07,995020,Meat Grinder - Large,16
100020,2013-01-07,995020,Supreme - Medium,14
100020,2013-01-07,995020,Barbecue Chicken - Large,16
100020,2013-01-07,995020,Soda - Small,2
100020,2013-01-07,995020,Soda - Small,2
100023,2013-01-07,,Mozzarella Sticks,7
100023,2013-01-07,,Stromboli,7.5
100023,2013-01-07,,House Salad - Half,3
100023,2013-01-07,,Caprese Salad,7
100023,2013-01-07,,Barbecue Chicken - Medium,14
100023,2013-01-07,,Barbecue Chicken - Medium,14
100023,2013-01-07,,Barbecue Chicken - Medium,14
100023,2013-01-07,,Buffalo Chicken - Medium,14
100023,2013-01-07,,Soda - Small,2
100023,2013-01-07,,Soda - Large,3
100025,2013-01-07,996103,Waffle Fries,5
100025,2013-01-07,996103,Soup of the Day - Cup,3
100025,2013-01-07,996103,House Salad - Whole,6
100025,2013-01-07,996103,House Salad - Whole,6
100025,2013-01-07,996103,Mt. Hawaiian - Medium,14
100025,2013-01-07,996103,Barbecue Chicken - Small,9
100025,2013-01-07,996103,Barbecue Chicken - Small,9
100025,2013-01-07,996103,Buffalo Chicken - Small,9
100025,2013-01-07,996103,Buffalo Chicken - Small,9
100025,2013-01-07,996103,Soda - Large,3
100034,2013-01-07,,Waffle Fries,5
100034,2013-01-07,,Soup of the Day - Cup,3
100034,2013-01-07,,Bacon Burger,9
100034,2013-01-07,,Meat Grinder - Large,16
100034,2013-01-07,,The Works  - Large,16
100034,2013-01-07,,Buffalo Chicken - Small,9
100034,2013-01-07,,Soda - Large,3
100034,2013-01-07,,Soda - Large,3
100035,2013-01-07,,Mozzarella Sticks,7
100035,2013-01-07,,Mozzarella Sticks,7
100035,2013-01-07,,House Salad - Whole,6
100035,2013-01-07,,Caprese Salad,7
100035,2013-01-07,,Bacon Burger,9
100035,2013-01-07,,Meat Grinder - Large,16
100035,2013-01-07,,The Works  - Medium,14
100035,2013-01-07,,Mt. Hawaiian - Medium,14
100035,2013-01-07,,Buffalo Chicken - Medium,14
100035,2013-01-07,,Soda - Small,2
100035,2013-01-07,,Soda - Small,2
100035,2013-01-07,,Soda - Small,2
100035,2013-01-07,,Soda - Large,3
100036,2013-01-07,,Cheese Bread,8
100036,2013-01-07,,Onion Rings,7
100036,2013-01-07,,Classic Quarter Pounder,8
100036,2013-01-07,,Mt. Hawaiian - Small,9
100036,2013-01-07,,Soda - Small,2
100036,2013-01-07,,Soda - Large,3
100037,2013-01-07,,Cheese Bread,8
100037,2013-01-07,,Garden Fresh - Large,16
100037,2013-01-07,,Soda - Large,3
100042,2013-01-07,,House Salad - Half,3
100042,2013-01-07,,House Salad - Whole,6
100042,2013-01-07,,Garden Fresh - Medium,14
100042,2013-01-07,,Mt. Hawaiian - Medium,14
100042,2013-01-07,,Barbecue Chicken - Small,9
100042,2013-01-07,,Buffalo Chicken - Medium,14
100042,2013-01-07,,Soda - Small,2
100042,2013-01-07,,Soda - Large,3
100042,2013-01-07,,Soda - Large,3
100042,2013-01-07,,Soda - Large,3
100048,2013-01-07,,Waffle Fries,5
100048,2013-01-07,,Soup of the Day - Cup,3
100048,2013-01-07,,Caprese Salad,7
100048,2013-01-07,,Meat Grinder - Small,9
100048,2013-01-07,,Meat Grinder - Large,16
100048,2013-01-07,,Garden Fresh - Medium,14
100048,2013-01-07,,Barbecue Chicken - Large,16
100049,2013-01-07,995183,House Made Potato Chips,3
100049,2013-01-07,995183,Waffle Fries,5
100049,2013-01-07,995183,Soup of the Day - Bowl,5
100049,2013-01-07,995183,Garden Fresh - Medium,14
100049,2013-01-07,995183,The Works  - Large,16
100049,2013-01-07,995183,Barbecue Chicken - Small,9
100049,2013-01-07,995183,Buffalo Chicken - Small,9
100049,2013-01-07,995183,Soda - Small,2
100049,2013-01-07,995183,Soda - Large,3
100050,2013-01-07,,Jalapeno Poppers,7
100050,2013-01-07,,Waffle Fries,5
100050,2013-01-07,,Onion Rings,7
100050,2013-01-07,,Onion Rings,7
100050,2013-01-07,,House Salad - Half,3
100050,2013-01-07,,Bacon Burger,9
